id,japanese_name,scientific_name,order_name_ja,order_name_en,family_name_ja,family_name_en,genus_name,species_name,subspecies_name,distribution,note
149,ハクバサンショウウオ,Hynobius hidamontanus,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,本州中部（長野、岐阜）、北陸（富山、新潟）,
150,ヒダサンショウウオ,Hynobius kimurae,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,群馬、埼玉、東京以西の本州（和歌山除く）,
151,ブチサンショウウオ,Hynobius naevius,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,中国5県、九州（宮崎、鹿児島除く）,
152,ベッコウサンショウウオ,Hynobius ikioi,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,九州（宮崎、熊本、鹿児島）,
153,ホクリクサンショウウオ,Hynobius takedai,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,北陸（富山、石川）,
154,ミカワサンショウウオ,Hynobius mikawaensis,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,愛知,
155,キタオウシュウサンショウウオ,Onychodactylus nipponoborealis,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,東北北部（宮城、山形、岩手、秋田、青森）,
156,シコクハコネサンショウウオ,Onychodactylus kinneburi,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,四国（香川除く）、中国地方（岡山、広島、山口）,
157,タダミハコネサンショウウオ,Onychodactylus fuscus,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,東北南部（福島）、北陸（新潟）,
158,ツクバハコネサンショウウオ,Onychodactylus tsukubaensis,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,筑波山系（茨城）,
159,ハコネサンショウウオ,Onychodactylus japonicus,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,新潟、福島、栃木、茨城以西の本州（千葉と大阪除く）,
160,バンダイハコネサンショウウオ,Onychodactylus intermedius,有尾目,Caudata,サンショウウオ科,Hynobiidae,,,,東北南部（福島、宮城、山形）、関東（茨城）、北陸（新潟）,
161,オオサンショウウオ,Andrias japonicus,有尾目,Caudata,オオサンショウウオ科,Cryptobranchidae,,,,本州西部（愛知、岐阜以西の本州、北陸除く）、四国、九州（大分）,
162,イボイモリ,Echinotriton andersoni,有尾目,Caudata,イモリ科,Salamandridae,,,,奄美大島、徳之島、沖縄本島、瀬底島、渡嘉敷島,
163,アカハライモリ,Cynops pyrrhogaster,有尾目,Caudata,イモリ科,Salamandridae,,,,本州、四国、九州と周辺島嶼（対馬除く）,
164,シリケンイモリ,Cynops ensicauda,有尾目,Caudata,イモリ科,Salamandridae,,,,奄美群島、沖縄諸島,
165,ミヤコヒキガエル,Bufo gargarizans miyakonis,無尾目,Anura,ヒキガエル科,Bufonidae,,,,宮古諸島（宮古島、池間島、伊良部島、下地島）,固有亜種
166,ナガレヒキガエル,Bufo torrenticola,無尾目,Anura,ヒキガエル科,Bufonidae,,,,近畿（大阪、兵庫除く）、北陸（新潟除く）、岐阜,
167,ニホンヒキガエル,Bufo japonicus,無尾目,Anura,ヒキガエル科,Bufonidae,,,,本州、四国、九州と周辺島嶼（佐渡、対馬除く）,2亜種（二ホンヒキガエル、アズマヒキガエル）
168,ハロウエルアマガエル,Hyla hallowellii,無尾目,Anura,アマガエル科,Hylidae,,,,奄美群島、沖縄島,
169,アマミアカガエル,Rana kobai,無尾目,Anura,アカガエル科,Ranidae,,,,奄美大島、加計呂麻島、徳之島,
170,タゴガエル,Rana tagoi,無尾目,Anura,アカガエル科,Ranidae,,,,本州、四国、九州と周辺島嶼（対馬、佐渡除く）,3亜種（タゴガエル、オキタゴガエル、ヤクシマタゴガエル）
171,ツシマアカガエル,Rana tsushimensis,無尾目,Anura,アカガエル科,Ranidae,,,,対馬,
172,ナガレタゴガエル,Rana sakuraii,無尾目,Anura,アカガエル科,Ranidae,,,,栃木、新潟以西の本州（大阪、和歌山、広島除く）,
173,ニホンアカガエル,Rana japonica,無尾目,Anura,アカガエル科,Ranidae,,,,本州、四国、九州と周辺島嶼（対馬、佐渡除く）,
174,ネバタゴガエル,Rana neba,無尾目,Anura,アカガエル科,Ranidae,,,,静岡、長野、愛知,
175,ヤマアカガエル,Rana ornativentris,無尾目,Anura,アカガエル科,Ranidae,,,,本州、四国、九州、佐渡,
176,リュウキュウアカガエル,Rana ulma,無尾目,Anura,アカガエル科,Ranidae,,,,沖縄島、久米島,
177,ツチガエル,Glandirana rugosa,無尾目,Anura,アカガエル科,Ranidae,,,,本州、四国、九州と周辺島嶼（対馬除く）,
178,サドガエル,Glandirana susurra,無尾目,Anura,アカガエル科,Ranidae,,,,佐渡,
179,ダルマガエル,Pelophylax porosus,無尾目,Anura,アカガエル科,Ranidae,,,,本州（青森、秋田、山形、富山、石川、和歌山、鳥取、島根、山口除く）、四国（香川、愛媛）,2亜種（トウキョウダルマガエル、ナゴヤダルマガエル）
180,アマミハナサキガエル,Odorrana amamiensis,無尾目,Anura,アカガエル科,Ranidae,,,,奄美大島、徳之島,
181,アマミイシカワガエル,Odorrana splendida,無尾目,Anura,アカガエル科,Ranidae,,,,奄美大島,
182,オオハナサキガエル,Odorrana supranarina,無尾目,Anura,アカガエル科,Ranidae,,,,石垣島、西表島,
183,オキナワイシカワガエル,Odorrana ishikawae,無尾目,Anura,アカガエル科,Ranidae,,,,沖縄島,
184,コガタハナサキガエル,Odorrana utsunomiyaorum,無尾目,Anura,アカガエル科,Ranidae,,,,石垣島、西表島,
185,ハナサキガエル,Odorrana narina,無尾目,Anura,アカガエル科,Ranidae,,,,沖縄島,
186,オットンガエル,Babina subaspera,無尾目,Anura,アカガエル科,Ranidae,,,,奄美大島、加計呂麻島,
187,ホルストガエル,Babina holsti,無尾目,Anura,アカガエル科,Ranidae,,,,沖縄島、渡嘉敷島,
